Distance_(µm),Gray_Value
0.0000000,0.0000
0.0020000,0.0000
0.0040000,0.0000
0.0060000,0.0000
0.0080000,1.8913
0.0100000,6.5883
0.0120000,16.3750
0.0140000,48.4198
0.0160000,91.9565
0.0180000,74.4932
0.0200000,29.8533
0.0220000,7.7405
0.0240000,5.7826
0.0260000,3.7500
0.0280000,1.7065
0.0300000,2.8084
0.0320000,9.7391
0.0340000,26.2989
0.0360000,49.5054
0.0380000,47.6087
0.0400000,26.3478
0.0420000,4.5326
0.0440000,1.0326
0.0460000,1.3125
0.0480000,1.2174
0.0500000,4.2609
0.0520000,16.1467
0.0540000,31.1046
0.0560000,48.5217
0.0580000,54.6155
0.0600000,28.2446
0.0620000,7.9837
0.0640000,0.0870
0.0660000,0.8764
0.0680000,0.8587
0.0700000,2.0408
0.0720000,9.7174
0.0740000,35.4823
0.0760000,60.3478
0.0780000,51.0652
0.0800000,28.6087
0.0820000,7.7065
0.0840000,1.5707
0.0860000,0.0000
0.0880000,0.0000
0.0900000,0.0000
0.0920000,0.0000
