Distance_(µm),Gray_Value
0.0000000,0.0000
0.0020000,0.4012
0.0040000,1.9493
0.0060000,12.5647
0.0080000,39.9475
0.0100000,90.0892
0.0120000,83.2953
0.0140000,43.7714
0.0160000,10.2146
0.0180000,2.6293
0.0200000,3.4998
0.0220000,2.1916
0.0240000,4.7889
0.0260000,13.5825
0.0280000,28.9269
0.0300000,44.6982
0.0320000,49.6528
0.0340000,24.5275
0.0360000,4.1531
0.0380000,1.6199
0.0400000,1.8680
0.0420000,2.3754
0.0440000,6.0266
0.0460000,23.1328
0.0480000,53.3966
0.0500000,87.3875
0.0520000,86.7710
0.0540000,51.1982
0.0560000,19.8418
0.0580000,7.9160
0.0600000,6.0000
0.0620000,6.0000
0.0640000,4.6509
0.0660000,12.5367
0.0680000,45.1187
0.0700000,82.4308
0.0720000,85.6183
0.0740000,47.7634
0.0760000,16.3072
0.0780000,4.1609
0.0800000,1.7625
0.0820000,0.3750
